Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
2.17,2.17,1,1,1,0,45.66951875,0.000587432,-1.04E-05,0.001428345,,
2.18,2.18,1,1,1,0,45.66927735,0.000524335,-2.76E-05,0.001719445,,
2.191,2.191,1,1,1,0,45.66930864,0.000928179,-0.000222283,0.001882228,,
2.201,2.201,1,1,1,0,45.66934887,0.001059542,-0.000516907,0.001888259,,
2.212,2.212,1,1,1,0,45.66947404,0.001056003,-0.000118604,0.001613549,,
2.223,2.223,1,1,1,0,45.67012224,0.001300825,-0.000422378,0.00206988,,
2.233,2.233,1,1,1,0,45.6694964,0.001372723,-0.000201119,0.00172168,,
2.244,2.244,1,1,1,0,45.66908959,0.000957213,0.000372157,0.001982289,,
2.255,2.255,1,1,1,0,45.6688929,-2.92E-05,-0.000395766,0.001567376,,
2.265,2.265,1,1,1,0,45.66916559,0.000258093,1.09E-05,0.001954262,,
2.276,2.276,1,1,1,0,45.66924159,0.001441478,-0.000126543,0.001497116,,
2.287,2.287,1,1,1,0,45.6704307,0.001529232,-0.000148825,0.001242786,,
2.297,2.297,1,1,1,0,45.6696618,0.000480516,-0.000490644,0.001464194,,
2.308,2.308,1,1,1,0,45.66947404,0.000952487,-4.73E-05,0.00158389,,
2.318,2.318,1,1,1,0,45.66945169,0.000303402,7.31E-05,0.001897518,,
2.329,2.329,1,1,1,0,45.6699926,0.001054164,0.000342634,0.002093028,,
2.34,2.34,1,1,1,0,45.66973779,0.000491273,1.50E-05,0.00205819,,
2.35,2.35,1,1,1,0,45.6694204,0.001086062,-0.000111526,0.001654612,,
2.361,2.361,1,1,1,0,45.66942487,0.000984897,-0.000231224,0.001719977,,
2.372,2.372,1,1,1,0,45.66963945,0.001541735,0.000195904,0.001369561,,
2.382,2.382,1,1,1,0,45.66933546,0.001101452,2.15E-05,0.001771311,,
2.393,2.393,1,1,1,0,45.66945616,0.000545895,-0.000539166,0.001496974,,
2.404,2.404,1,1,1,0,45.66972885,0.000302005,0.000134064,0.00163565,,
2.414,2.414,1,1,1,0,45.6701133,0.000746455,-0.000177044,0.002198658,,
2.425,2.425,1,1,1,0,45.66908065,0.001689885,-0.00017744,0.001786229,,
2.436,2.436,1,1,1,0,45.67028318,0.000655325,9.31E-05,0.001430899,,
2.446,2.446,1,1,1,0,45.66933099,0.00103293,-0.000383984,0.001543607,,
2.457,2.457,1,1,1,0,45.66988979,0.001249905,-2.98E-05,0.00189892,,
2.467,2.467,1,1,1,0,45.66940699,0.000244426,-0.000416418,0.001950999,,
2.482,2.482,1,1,1,0,45.66980932,1.87E-05,5.84E-05,0.001756642,,
2.493,2.493,1,1,1,0,45.67003284,-7.68E-05,-9.71E-05,0.002136202,,
2.503,2.503,1,1,1,0,45.6701893,0.001889816,-1.59E-05,0.0018001,,
2.514,2.514,1,1,1,0,45.66886608,0.001126411,-0.000180071,0.001871567,,
2.525,2.525,1,1,1,0,45.66809718,0.000956934,-0.000247918,0.001529913,,
2.527,2.527,1,1,1,0,45.66939805,0.001313956,2.44E-05,0.001584564,,
2.538,2.538,1,1,1,0,45.66989426,0.000977889,-0.000365102,0.001439609,,
2.549,2.549,1,1,1,0,45.66891525,0.000571716,7.23E-05,0.001808562,,
2.559,2.559,1,1,1,0,45.66907171,0.00032403,-0.000367267,0.001800792,,
2.57,2.57,1,1,1,0,45.66914324,0.001222314,3.38E-06,0.00165871,,
2.58,2.58,1,1,1,0,45.66946957,0.000887597,-0.000613905,0.001840171,,
2.591,2.591,1,1,1,0,45.67013566,0.000277162,4.56E-05,0.001339495,,
2.602,2.602,1,1,1,0,45.67005966,0.000521983,-0.000311947,0.001485852,,
2.612,2.612,1,1,1,0,45.66976909,0.000542076,-0.000105263,0.001849058,,
2.623,2.623,1,1,1,0,45.66956792,0.000851136,0.000101305,0.00179595,,
2.634,2.634,1,1,1,0,45.66930417,0.000895211,8.63E-05,0.001655091,,
2.644,2.644,1,1,1,0,45.66892419,0.000577024,6.46E-05,0.001460877,,
2.655,2.655,1,1,1,0,45.66980485,0.001227786,0.000191829,0.001732022,,
2.666,2.666,1,1,1,0,45.67003731,0.00150234,-0.000158814,0.00189523,,
2.676,2.676,1,1,1,0,45.6704307,0.002150168,-0.000170735,0.001860481,,
2.687,2.687,1,1,1,0,45.66934887,0.000725291,-0.000461307,0.001629548,,
2.698,2.698,1,1,1,0,45.66927288,-2.17E-05,-0.000153342,0.001839479,,
2.708,2.708,1,1,1,0,45.66962157,0.000159466,-0.00028864,0.001757689,,
2.719,2.719,1,1,1,0,45.66954557,0.000412995,-6.14E-05,0.001443635,,
2.729,2.729,1,1,1,0,45.66957239,0.000611064,4.36E-05,0.001390509,,
2.74,2.74,1,1,1,0,45.66914324,0.000477815,-0.000282004,0.00176505,,
2.751,2.751,1,1,1,0,45.66959027,0.000777189,-0.000199955,0.001996391,,
2.761,2.761,1,1,1,0,45.66964392,0.001297006,-0.00026226,0.001782522,,
2.772,2.772,1,1,1,0,45.66956345,0.000912719,-0.000314461,0.001666479,,
2.783,2.783,1,1,1,0,45.66895548,0.000364007,-9.78E-05,0.001965615,,
2.793,2.793,1,1,1,0,45.67013566,0.000477303,-4.94E-06,0.001693459,,
2.804,2.804,1,1,1,0,45.66942934,0.000323495,-0.000291667,0.00161926,,
2.815,2.815,1,1,1,0,45.67022953,0.001900736,-0.000194367,0.001424354,,
2.825,2.825,1,1,1,0,45.67003731,0.000983267,-0.000142632,0.001932587,,
2.836,2.836,1,1,1,0,45.66932205,5.42E-05,-0.000301725,0.002005827,,
2.846,2.846,1,1,1,0,45.66996578,0.000470877,6.83E-05,0.001592103,,
2.857,2.857,1,1,1,0,45.67016248,0.001143222,-0.000141375,0.002002829,,
2.868,2.868,1,1,1,0,45.66910301,0.000394462,8.81E-05,0.001883771,,
2.878,2.878,1,1,1,0,45.66968862,0.000290037,-0.000460027,0.001282342,,
2.889,2.889,1,1,1,0,45.66965286,0.001506903,-0.00035197,0.001714425,,
2.9,2.9,1,1,1,0,45.66969756,0.001802668,-0.000316929,0.001698869,,
2.91,2.91,1,1,1,0,45.669179,0.000701007,-0.00058955,0.001721467,,
2.921,2.921,1,1,1,0,45.66894207,-9.98E-05,-8.62E-05,0.001800579,,
2.932,2.932,1,1,1,0,45.66982273,-0.000308943,-0.000229315,0.001442358,,
2.942,2.942,1,1,1,0,45.66933993,0.000278046,-0.000350853,0.001588485,,
2.953,2.953,1,1,1,0,45.669179,0.00057274,-0.000162725,0.001672546,,
2.963,2.963,1,1,1,0,45.66941593,0.000914326,-0.000369037,0.001307992,,
2.974,2.974,1,1,1,0,45.66952769,0.000762194,-0.000434741,0.001704652,,
2.985,2.985,1,1,1,0,45.66941593,0.001244922,-0.000116182,0.001777591,,
2.995,2.995,1,1,1,0,45.66974227,0.001267251,1.34E-05,0.001567571,,
3.006,3.006,1,1,1,0,45.66985849,0.000567455,-0.000305707,0.001935673,,
3.017,3.017,1,1,1,0,45.66883925,-0.000412599,-0.000498374,0.001716306,,
3.027,3.027,1,1,1,0,45.66899572,0.00094017,-0.000485196,0.001708412,,
3.038,3.038,1,1,1,0,45.66915218,0.001607509,-0.000376208,0.001738656,,
3.049,3.049,1,1,1,0,45.67039494,0.001755892,-0.000390108,0.001704953,,
3.059,3.059,1,1,1,0,45.66969309,0.00036906,-7.56E-05,0.001436433,,
3.07,3.07,1,1,1,0,45.66880796,0.000576023,-7.88E-05,0.001805049,,
3.081,3.081,1,1,1,0,45.66977356,0.000562449,-8.83E-05,0.001672067,,
3.091,3.091,1,1,1,0,45.66940252,0.001366693,-0.000134832,0.001784083,,
3.102,3.102,1,1,1,0,45.66916559,0.000138325,3.01E-05,0.00151535,,
3.112,3.112,1,1,1,0,45.66960815,0.000313972,-0.000225822,0.001440708,,
3.123,3.123,1,1,1,0,45.67000155,0.001471839,-9.02E-05,0.001536938,,
3.134,3.134,1,1,1,0,45.66931758,0.001908001,-0.000271853,0.001382368,,
3.144,3.144,1,1,1,0,45.66926841,0.000374764,-0.000488688,0.001731809,,
