"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",
2.183,2.183,1,1,1,0,30.2972306509093,0.0226343283429742,0.00726331502644606,0.0170236501981207,
2.193,2.193,1,1,1,0,30.2972753543947,0.0215939711779356,0.00749204785443135,0.0167875537582672,
2.204,2.204,1,1,1,0,30.2970898349304,0.0213357619941235,0.00711630575569086,0.0170837481191359,
2.215,2.215,1,1,1,0,30.2974452276391,0.0212247250601649,0.00732478231735416,0.0171378291484724,
2.225,2.225,1,1,1,0,30.2972127695152,0.0233851838856936,0.00747716997606382,0.0170101610014369,
2.236,2.236,1,1,1,0,30.2966517407738,0.0232059275731444,0.00721546832840964,0.0168249507811789,
2.247,2.247,1,1,1,0,30.2972217102123,0.021990854293108,0.00723071873581298,0.0170625913790739,
2.257,2.257,1,1,1,0,30.2964170474756,0.0211604172363877,0.00717220839412659,0.0168570763680181,
2.268,2.268,1,1,1,0,30.2974228758964,0.0224705552682281,0.00721884437279664,0.0169345150063492,
2.279,2.279,1,1,1,0,30.2965936262428,0.021909037604928,0.00705160211878419,0.0166358180445167,
2.289,2.289,1,1,1,0,30.2975167532157,0.0216749263927341,0.00768031471590213,0.0172327149977776,
2.3,2.3,1,1,1,0,30.2975033421701,0.021508033387363,0.00731612101727165,0.017052456732618,
2.311,2.311,1,1,1,0,30.2971099514988,0.0223644310608506,0.00701490800875723,0.0171850413368659,
2.321,2.321,1,1,1,0,30.2970518369679,0.0227640848606825,0.00740285043342039,0.0164471290314297,
2.332,2.332,1,1,1,0,30.297760387211,0.0235086074098945,0.00749735639319159,0.0173376644977666,
2.342,2.342,1,1,1,0,30.2960840065096,0.0210970640182495,0.00744026631845422,0.0169488384033543,
2.353,2.353,1,1,1,0,30.2970317203994,0.021137623116374,0.00719602696935348,0.0169779821677687,
2.364,2.364,1,1,1,0,30.2974318165935,0.0215035164728761,0.00741528358999044,0.0172032162545031,
2.374,2.374,1,1,1,0,30.2973647613654,0.0239106826484203,0.0073004282316383,0.0165487062322478,
2.385,2.385,1,1,1,0,30.2970987756275,0.0224998220801353,0.00732371129637621,0.0167239237975939,
2.396,2.396,1,1,1,0,30.2971524198099,0.0221551861613989,0.00727069575796798,0.0172119664834046,
2.406,2.406,1,1,1,0,30.296370108816,0.0224165618419647,0.00708503659974784,0.0171440945253532,
2.417,2.417,1,1,1,0,30.2963544625961,0.0221510184928775,0.00700906395950802,0.0169390587357585,
