Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
2.505,2.505,1,1,1,0,41.49192887,0.00114108,0.000227359,0.003009503,,
2.515,2.515,1,1,1,0,41.49149524,0.002474943,0.000124355,0.003160897,,
2.526,2.526,1,1,1,0,41.4920451,0.001632329,0.000303122,0.003237608,,
2.537,2.537,1,1,1,0,41.49170982,0.00108052,0.000315043,0.003032898,,
2.547,2.547,1,1,1,0,41.49167406,0.000602449,0.000168057,0.003183041,,
2.558,2.558,1,1,1,0,41.49149077,0.001149252,0.000146334,0.003015338,,
2.569,2.569,1,1,1,0,41.49117338,0.001709373,0.000140816,0.003143919,,
2.579,2.579,1,1,1,0,41.49157571,0.000632927,6.94E-05,0.002894286,,
2.59,2.59,1,1,1,0,41.49179029,0.001492002,0.000155345,0.003120153,,
2.6,2.6,1,1,1,0,41.49169194,0.001866324,0.000506686,0.003365536,,
2.611,2.611,1,1,1,0,41.49163382,0.001518452,0.000168057,0.003177576,,
2.622,2.622,1,1,1,0,41.49141031,0.001135748,9.14E-05,0.003207125,,
2.632,2.632,1,1,1,0,41.49124043,0.000314694,0.00012021,0.003192456,,
2.643,2.643,1,1,1,0,41.49133878,0.0007116,0.000126916,0.00332414,,
2.654,2.654,1,1,1,0,41.49161147,0.002200832,0.000179769,0.003146546,,
2.664,2.664,1,1,1,0,41.49092751,0.002632407,-6.74E-05,0.003084856,,
2.675,2.675,1,1,1,0,41.49052518,0.001204456,0.000199513,0.003134839,,
2.686,2.686,1,1,1,0,41.49222838,0.001143129,0.000231201,0.002848728,,
2.696,2.696,1,1,1,0,41.4917724,0.000463473,2.80E-05,0.003277171,,
2.707,2.707,1,1,1,0,41.49123596,0.000859052,0.000200048,0.003119483,,
2.717,2.717,1,1,1,0,41.49158912,0.000930531,-4.66E-08,0.003121193,,
2.728,2.728,1,1,1,0,41.4912449,0.00072408,6.85E-05,0.003210598,,
2.739,2.739,1,1,1,0,41.49145948,0.000852998,0.000373018,0.002661209,,
2.749,2.749,1,1,1,0,41.49183052,0.001658569,0.000168197,0.003006188,,
2.76,2.76,1,1,1,0,41.49208086,0.00066096,2.88E-05,0.003281033,,
2.771,2.771,1,1,1,0,41.49136113,0.000627548,0.000198488,0.003277859,,
2.781,2.781,1,1,1,0,41.49196016,3.63E-05,6.99E-05,0.002965796,,
2.792,2.792,1,1,1,0,41.49087833,0.000987807,-9.73E-06,0.003223909,,
2.803,2.803,1,1,1,0,41.4919691,0.001827651,6.34E-05,0.003331809,,
2.813,2.813,1,1,1,0,41.49141925,0.000718771,6.99E-05,0.003135527,,
2.824,2.824,1,1,1,0,41.49110632,0.000973581,-1.56E-05,0.002888151,,
2.834,2.834,1,1,1,0,41.49238484,0.001201732,-0.000264309,0.003047885,,
2.845,2.845,1,1,1,0,41.4917277,0.000804197,-0.000104657,0.0031637,,
2.856,2.856,1,1,1,0,41.49131643,0.000793603,0.000178418,0.003074436,,
2.866,2.866,1,1,1,0,41.49140137,0.000764732,-0.000146194,0.003139881,,
2.877,2.877,1,1,1,0,41.49226861,9.23E-05,0.000299094,0.002927467,,
2.888,2.888,1,1,1,0,41.49133431,0.001710863,-0.000207382,0.003313455,,
2.898,2.898,1,1,1,0,41.49087386,0.001966115,-0.000334042,0.002960525,,
2.909,2.909,1,1,1,0,41.49174558,0.000975537,4.54E-05,0.003211903,,
2.92,2.92,1,1,1,0,41.49128961,0.000629365,-9.75E-05,0.002932615,,
